Word,Meaning,Example_EN,Example_CN
resurrect,???/????,Almost all Christians believe that Jesus was resurrected from the dead / Several members of the party have resurrected the idea of constitutional change,????????????????? / ??????????????????
relish,??/??,I always relish a challenge / She's relishing the prospect of studying in Bologna for six months,????????? / ???????????????????
pagan,???/??,,
altar,??,,
butcher,??,,
descent,????/????/??,She's a woman of mixed/French descent / We weren't prepared for the descent of thousands of journalists on the town / The plane began (to make) its final descent into the airport,??????????? / ????????????????? / ???????????????????
onslaught,??,It is unlikely that his forces could withstand an enemy onslaught for very long,??????????????????
furnace,??/???,People who work with furnaces in a steel factory need to wear protective clothing / It's cold in here - should I turn on the furnace?,?????????????????? / ?????????????????
doldrums,????,Her career was in the doldrums during those years,???????????????
ember,???????,We sat by the glowing/dying embers of the fire,???????????????
ransack,??,The burglars ransacked the house but found nothing valuable,????????????????????????
congregate,??,"A crowd congregated around the entrance to the theatre, hoping to catch a glimpse of the stars of the show",??????????????????????
fraternise,????,Do the doctors fraternize much with the nurses here?,??????????????
opus,??/????,"He showed us his latest opus, a truly awful painting of a vase of flowers",?????????????????????????????
rekindle,????,The holiday was a last chance to rekindle their love,???????????????????????
consign,??,The goods have been consigned to you by air,?????????
amicable,?????,"His manner was perfectly amicable, but I felt uncomfortable",?????????????????
aphrodisiac,???,Are oysters really an aphrodisiac?,????????????
taunt,??,The other kids used to taunt him in the playground because he was fat and wore glasses,???????????????????????????
infuriating,????,"It's infuriating when people keep spelling your name wrong, isn't it?",????????????????????
morsel,???,a morsel of cheese / a morsel of good news,????? / ??????
trove,??,"A Roman soldier's pay, found by a metal detector enthusiast in Norfolk, has been declared treasure trove",?????????????????????????????????????????
panoply,????,There is a whole panoply of remedies and drugs available to the modern doctor,?????????????????????
ungrudging,???,,
shroud,???/??,Everything was covered in a thick shroud of dust / Visitors have complained about the scaffolding that shrouds half the castle,??????????????? / ??????????????
irrigation,??,an irrigation system,????
amphibian,????/????,"He flew an amphibian, which he could set down on water in case of an engine problem","
?????????????????????????????"
anatomical,???,All medical students are required to do an anatomical dissection of a human body,????????????????????
cataract,???/???,,
amanuensis,???,,
phenomenal,???,Her rise to fame was quite phenomenal - in less than two years she was a household name,???????????????????????????????
onset,????????,The new treatment can delay the onset of the disease by several years,????????????????????
nomenclature,???,(the) nomenclature of organic chemicals,?????????
espionage,????,military/industrial espionage,?????????????
parasite,???,Financial speculators are parasites on the national economy,??????????????
cicadas,?,,
reinvigorate,?????/??,"His beliefs, both political and religious, seem to reinvigorate him / Lower interest rates could reinvigorate consumer spending and the struggling housing market",?????????????????? / ????????????????????
indelibly,????,"When you visit another country, your entry and departure dates will be indelibly marked in your passport",??????????????????????????
annal,??,The signing of the Treaty of Rome was the greatest event in the annals of European integration,???????????????????????
patriarch,??/??,,
chariot,????,,
heretic,???,,
savage,???/???/???,a brutal and savage attack / savage criticism / savage cuts in education spending,??????? / ????? / ?????????
interlocutor,???/???,Abraham was able to act as interpreter and interlocutor for our group,????????????????????
gallant,??????/???,"That wasn't very gallant of you, Paul, pushing a young lady out of the way like that! / Despite fierce competition, she made a gallant effort to win the first medal of the championships",??????????????????? / ???????????????????????????
captivating,????,a captivating performance,????????
personage,???,,
enchanting,???,"It's described in the guide book as ""an enchanting medieval city""",?????????????????????
chimerical,???,His self-image as a writer seems chimerical,??????????????????
predilection,??,"Ever since she was a child, she has had a predilection for spicy food",??????????????
wane,??,By the late 70s the band's popularity was beginning to wane,??70???????????????
inscribe,??,The prize winners each receive a book with their names inscribed on the first page,????????????????????
lofty,???/???,lofty sentiments/ideals / a lofty attitude/air/tone,???????? / ???????????
savant,????,There are musical savants who are very awkward physically - until they sit at the piano,??????????????????????????????
engross,?????,What is it about Harry Potter that so engrosses children?,????????????????????
supplication,??,"Inside the temple, worshippers were kneeling in supplication",????????????
edifice,??,It looks as if the whole political edifice of the country is about to collapse / The town hall is the only edifice surviving from the 15th century,????????????????????? / ?????????????15???????
folklore,????,Her books are often based on folklore and fairy-tales,????????????????????
ethos,????/???,national ethos / The ethos of the traditional family firm is being threatened,?????? / ???????????????
siren,???/??,When the air raid siren went off people ran to their shelters,?????????????????
intricate,?????,The watch mechanism is extremely intricate and very difficult to repair,??????????????????
verdict,??,The jury reached/returned a unanimous verdict of (not) guilty,????????????
commandeer,??,,
decipher,??,Can you decipher the writing on this envelope?,????????????
cipher/cypher,??/??,The message was written in cipher,????????
encipher,??,,
permutation,??,He made 16 separate applications for tickets using various permutations of his children's names,?????????????????16?????
glean,???????,"From what I was able to glean, the news isn't good",?????????????????
inquest,??,an inquest into the department's poor performance,???????????
inextricably,?????,His name was inextricably linked with the environmental movement,????????????????
bout,??/??,He suffered from periodic bouts of in sanity / a bout of flu,?????????? / ????
stroll,??,We could stroll along the beach after dinner,?????????????
botanical,???,Several new botanical species have been discovered in the last year,???????????????
streak,??/??/????,The window cleaner left dirty streaks on the windows / Her stubborn streak makes her very difficult to work with sometimes / I just hope my lucky streak continues until the world championships,???????????????? / ????????????????? / ??????????????????
fastidious,?????,He is very fastidious about how a suitcase should be packed,?????????????
epitome,??,"Even now in her sixties, she is the epitome of French elegance",?????????????????????????
ferocious,???,The president came in for some ferocious criticism,???????????
pass‚,???,"Wines from that region were quite popular for a while, but now they're rather pass‚",??????????????????????????
potency,??/???,This new drug's potency is not yet known,?????????????
symposium,???,a symposium on European cinema,???????
deft,??/???,She answered the journalist's questions with a deft touch,????????????
torment,??,The family said they had endured years of torment and abuse at the hands of their neighbours,??????????????????????
enthral,??,The baseball game completely enthralled the crowd,?????????????
indulgent,???,He had been a strict father but was indulgent to/towards his grandchildren,????????????????????
embroil,???,She had no desire to embroil herself in lengthy lawsuits with the tabloid newspapers,??????????????????
conscientiously,?????,They did their job conscientiously,????????????
unswerving,???,unswerving loyalty/devotion/support/faith,????????????????
arbiter,???,The government will be the final arbiter in the dispute,????????????
recalcitrance,??,Landowners' recalcitrance about land reform helped precipitate the reaction against them,???????????????????
authenticate,???????,They used carbon dating tests to authenticate the claim that the skeleton was two million years old,??????????????????200???????????
peculiar,???,She has the most peculiar ideas,????????
exalt,????,,
indelible,?????,The blood had left an indelible mark on her shirt,????????????
improvise,????,I hadn't prepared a speech so I suddenly had to improvise,??????????????????????
fugitive,???,Thousands of fugitives are fleeing from the war-torn area,?????????????????
cynical,??/???????/?????,She has a pretty cynical view of men,???????????
seep,??/??,Pesticides are seeping out of farmland and into the water supply,?????????????????
enviable,?????,She's in the enviable position of being able to choose who she works for,?????????????????
fiasco,????,The show was a fiasco - one actor forgot his lines and another fell off the stage,?????????????????????????
straitened,???,A lot of people are finding themselves in very straitened circumstances because of the recession,??????????????
encroach,????,What the company is proposing encroaches on the rights of individuals,?????????????????
turret,????,,
dugout,???,,
loiter,??/??,"Come straight home and don't loiter, Alan",???????????????
quarry,??,The dogs pursued their quarry into an empty warehouse,??????????????????
toll,???/??,Independent sources say that the death toll from the earthquake runs into thousands,????????????????????
infantry,??,,
artillery,??,,
assortment,??,An unlikely assortment of rock stars and politicians attended the charity concert,???????????????????????????
obsolescence,??/??,Mobile phone technology is developing so quickly that many customers are concerned about obsolescence,??????????????????????????
sabotage,??,The rebels had tried to sabotage the oil pipeline,?????????????
cynicism,????,He's often been accused of cynicism in his attitude towards politics,????????????????????
percolate,??,Sea water percolates down through the rocks,??????????
grit,??,,
apparatchik,???????,,
benign,???,,
augury,??,These sales figures are a good augury for another profitable year,??????????????????????????
overhaul,??/??,The government has recently overhauled the healthcare system,?????????????????
grandeur,??,the silent grandeur of the desert,????????
cronyism,????,,
entrench,????,The government's main task was to prevent inflation from entrenching itself,??????????????????????
nugatory,????/????,a nugatory amount,???????
postulate,??,"It was the Greek astronomer, Ptolemy, who postulated that the earth was at the centre of the universe",?????????????????????
nutty,??/??/???,She's got some nutty idea about setting up a school for cats,??????????????????
reparation,??,The company had to make reparation to those who suffered ill health as a result of chemical pollution,???????????????????????????????
penance,??,"As a penance, she said she would buy them all a box of chocolates",????????????????????????
repentance,??,"This was an extremely violent crime, for which the boy showed no repentance",????????????????????
atonement,??,He said that young hooligans should do community service as atonement for their crimes,?????????????????????
impasse,??,"The dispute had reached an impasse, as neither side would compromise",????????????????
portent ,??,"For the economy, the portents are extremely gloomy",????????????
vestige,??,These old buildings are the last vestiges of a colonial past,???????????????
paramour,??,,
riotous,???/???,We went to a riotous party and danced all night,???????????????????????
jocularity,????,She is known for jocularity in her dealings with the press,????????????????
irritability,????,"Symptoms may include depression, irritability, and anxiety",??????????????
pathos,???,There's a pathos in his performance which he never lets slide into sentimentality,????????????????????????????
recalcitrant,?????,,
repugnant,?????,a repugnant smell,???????
ferment,??,You make wine by leaving grape juice to ferment until all the sugar has turned to alcohol,?????????????????????????
cinch,?????,The exam was a cinch,??????
abound,????,Theories abound about how the universe began,???????????????
conflate,??,She conflated the three plays to produce a fresh new work,??????????????????????????????
venerable,?????,a venerable tradition/company/family,???????????????????????
bulwark,??,My savings were to be a bulwark against unemployment,?????????????
asymptotic,???,,
tact,??,He's never had much tact and people don't like his blunt manner,?????????????????????????
implore,??,She implored her parents not to send her away to school,???????????
impertinent,????,I hope he didn't think I was being impertinent when I asked him about his private life,????????????????????????
slovenliness,??,I visited two factories and was amazed by the dirt and slovenliness everywhere,????????????????????????
composting,????,There should be more composting of garden and food waste,????????????????
parochial,???/???,"Although it's just a local paper, it somehow manages not to be too parochial in its outlook",????????????????????????????
fabric,??,the fabric of society,????
fecundity,???,This part of the state is a lush land of great fecundity,???????????????
plenitude,??,They have a plenitude of vacancies for drivers,????????????
impotent,????,You feel so impotent when your child is ill and you cannot help them,????????????????????????????
fringe,??,the southern fringe of the city,???????
incongruous,????,The new computer looked incongruous in the dark book-filled library,??????????????????????
exculpatory,?????,He dismissed the exculpatory remarks concerning the woman?s innocence,????????????????
attest,??/??,Thousands of people came out onto the streets to attest their support for the democratic opposition party,?????????????????????
volition,???/????,The singer wished it to be known that he had left the band (out) of his own volition (= it was his decision),?????????????????????
obtuse,???,The answer's obvious - or are you being deliberately obtuse?,???????????????????
instantiate,???????,He seems to instantiate a new type of masculinity,??????????????????
veridical,???,"It is always possible that one is subject to an illusion or even a hallucination, so that one's perceptual experience is not veridical",?????????????????????????????????
volitional,?????,mental processes over which we have volitional control,???????????????
indelible,????,indelible ink,???????
incarcerate,??,Thousands of dissidents have been interrogated or incarcerated,????????????????
adventitious,???,an adventitious event/situation,?????????
thrall,??,"Her love for him was like a madness, and she was completely in its thrall",??????????????
invocation,??,They disagreed with the administration's invocation of the laws of armed conflict in their treatment of these prisoners,??????????????????????
unabashed,?????/????,She is to this day unabashed in her patriotism,??????????????????
outcrop,???????,,
pervade,??,The film movie is a reflection of the violence that pervades our culture,??????????????????
vouchsafe,??,He vouchsafed the information that the meeting had been postponed,?????????????
swot up,????,"She's at home, swotting up on her maths",?????????
capacious,????,a capacious pocket/handbag,???????
devour,????/??,The young cubs hungrily devoured the deer / The flames quickly devoured the building,??????????? / ????????????
veritable,???/?????,My garden had become a veritable jungle by the time I came back from holiday,????????????????????
epiphany,??,,
concoction,???,,
qualm,??,She had no qualms about lying to the police,???????????????
aura,??/??,The woods have an aura of mystery,???????????
imperishable,???,,
cavalier,?????,That's a rather cavalier attitude,??????????
errand,??,"I'll meet you at six, I've got some errands to do/run first",??????????????????
brio,????,She stepped into her new role with brio,?????????????????
tutelage,??,"Under the tutelage of Professor Roberts, the 900 delegates assessed and discussed the social market economy",???????????900???????????????
amiably,???,They were chatting quite amiably on the phone last night so I assumed everything was okay,???????????????????????
tumultuous,???/???/???,"The former president appeared to tumultuous applause and a standing ovation / After the tumultuous events of 1990, Europe was completely transformed",????????????????????? / ???1990?????????????????????
repel,??/??/???,"Similar poles of magnets repel each other, and opposite poles attract",???????????
fealty,???,an oath of fealty,????
disenchantment,??,There is growing disenchantment with the way the club is being run,????????????????
sermon,??,The Reverend William Cronshaw delivered/preached the sermon,?????????????
allude,??,She mentioned some trouble that she'd had at home and I guessed she was alluding to her son,????????????????????
flair,??,He has a flair for languages,???????
indignation,??/??,,
fathom,??,For years people have been trying to fathom (out) the mysteries of the whale's song,?????????????????
disdainful,???,She cast a disdainful glance at the food,??????????
inane,????/????,He's always making inane remarks,????????????
farce,??/??,No one had prepared anything so the meeting was a bit of a farce,?????????????????????
spontaneity,??,You should not work out the entire mock interview beforehand or you will lose the element of spontaneity,????????????????????????????
precipice,??/??,This latest tax increase may push many small companies over the financial precipice,???????????????????????
rendezvous,??,"We have a rendezvous for next week, don't we?",?????????????
amputate,??,They had to amputate his foot to free him from the wreckage,????????????????????????
spire,??,,
imperative,????c,The president said it was imperative that the release of all hostages be secured,?????????????????
animate,????,animate beings,??
culmination,??,Winning first prize was the culmination of years of practice and hard work,????????????????
hubris,????,He was punished for his hubris,??????????
imposing,???/???,an imposing mansion,???????
latitude,??,Courts can show a considerable degree of latitude when it comes to applying the law,??????????????????
facade,?????,We are fed up with this fa‡ade of democracy,????????????
simulacrum,?????,,
intrigue,??,a tale of political intrigue,???????
hallucination,??,A high temperature can cause hallucinations,?????????
cascade,??????/??,Guest information is cascaded through employee shift briefings,????????????????
reparation,??,The company had to make reparation to those who suffered ill health as a result of chemical pollution,???????????????????????????????
discerning,????,a discerning customer,??????
incriminating,?????????,"He was cleared of the charge, despite some very incriminating CCTV footage",????????????????????????????
wring,?,She wrung out the shirt and hung it out to dry,????????????
dent,??/???,His confidence was badly dented when he didn't get the job,?????????????????????
spurious,???,Some of the arguments in favour of shutting the factory are questionable and others downright spurious,?????????????????????????????
bogus,??/???,She produced some bogus documents to support her application,??????????????????
pariah,???????/?????,,
overhaul,????/??,The government has recently overhauled the healthcare system,?????????????????
attrition,??,Terrorist groups and the government have been engaged in a costly war of attrition since 2008,?2008????????????????????????????
fray,??,I frayed the edges of my jeans since that was the fashion in those days,?????????????????????
blot something out,??/??,Perhaps there are some memories so bad that you have to blot them out,???????????????????
heed,??,The company took no heed of (= did not consider) public opposition to the plans,??????????????????
quagmire,??/??,"Since the coup, the country has sunk deeper into a quagmire of violence and lawlessness",????????????????????????????
extermination,??,International measures have been taken to prevent the extermination of the whale,?????????????????
calibrate,??,,
confinement,??,She spent most of those years under house arrest or close confinement,?????????????????????
poignant,?????,The photograph awakens poignant memories of happier days,???????????????
protagonist,??,,
afflicted,??,It is an illness that afflicts women more than men,????????????
conundrum,??,Arranging childcare over the school holidays can be a real conundrum for working parents,????????????????????????????
menace,???????,Drunk drivers are a menace to everyone,??????????????
marshal,??/??,The fighting in the city followed reports of the rebels marshalling their forces in the countryside,???????????????????????
beyond the pale,???,Her recent conduct is beyond the pale,????????????
heft,???/??,,
debility,?????,,
infirmity,???????,an advanced state of infirmity,????
catharsis,?????????,,
kleptocracy,???????,This was not a democracy; it was a kleptocracy,????????????
parasite,????,The older drugs didn't deal effectively with the malaria parasite,???????????????????
potable,?????????,potable water,????
pestilence,??,,
rampant,??/???,rampant corruption,????
hold sway,????,"Fundamentalist beliefs hold sway over whole districts, ensuring the popularity of religious leaders",???????????????????????????????
stasis,??,She was bored - her life was in stasis,????????????????
sparse,???,a sparse population/audience,????????
gouging,????,"He has received complaints about price gouging, with some vets charging $50 per dose",??????????????????????50??
ablaze,?????,"The house was ablaze, and the flames and smoke could be seen for miles around",????????????????????????
